=== VibeKey 4.5.264 (4632) ===

--------- beginning of main
08-03 10:39:34.660 12445 12445 I VkTyping: ▶ open restart=false pkg=len=39 inputType=655361
08-03 10:39:35.119 12445 12445 I VkKeyPreview: show burst=6 last=key=printable instant=true pool showing=1 free=1
08-03 10:39:35.127 12445 12445 I VkKeyPreview: dismiss burst=6 last=key=printable reason=release pool showing=0 free=2
08-03 10:39:35.128 12445 12445 I VkKeyPress: keys pressed=842
08-03 10:39:35.252 12445 12478 W VibeKeyProfiler: Slow Native Suggest: Total=10.44ms | Init=1.75ms | TrieExpand(x25)=8.56ms | Scoring=0.12ms | inputSize=1 | maxActiveQ=400
08-03 10:39:35.258 12445 12478 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=fr token=1102 gen=87
08-03 10:39:35.643 12445 12445 I VkLocaleAssets: preload predictors fr
08-03 10:39:35.987 12445 12445 I VkTyping: ○ hidden
08-03 10:39:36.837 12472 12491 I OnDeviceAssist: warm ok model=qwen2.5-0.5b-instruct-q4_0.gguf ambient=59 chars 1462ms
08-03 10:39:38.549 12445 12445 I VkTyping: ▶ open restart=false pkg=len=20 inputType=589825
08-03 10:39:39.002 12445 12445 I VkLocaleAssets: preload predictors fr
08-03 10:39:39.108 12445 12478 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=fr token=1104 gen=87
08-03 10:39:39.497 12445 12445 I VkKeyPress: strip pick key=fn
08-03 10:39:39.511 12445 12445 I VkPanels: ▶ open menu
08-03 10:39:39.518 12445 12499 I VkLocaleAssets: ▶ batch source=menu_panel count=3 [fr,en-US,pt-BR]
08-03 10:39:39.526 12445 12499 I VkLocaleAssets: preload predictors fr
08-03 10:39:39.530 12445 12499 I VkLocaleAssets: ○ ready fr (cached)
08-03 10:39:39.545 12445 12499 I VkLocaleAssets: ○ ready en-US (cached)
08-03 10:39:39.563 12445 12499 I VkLocaleAssets: ○ ready pt-BR (cached)
08-03 10:39:39.563 12445 12499 I VkLocaleAssets: ✓ batch source=menu_panel locales=3 fetched=0
08-03 10:39:39.699 12445 12478 I VkTextCorrection: rerank prediction head len=2→len=2
08-03 10:39:39.699 12445 12478 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=fr token=1105 gen=87
08-03 10:39:39.979 12472 12490 I OnDeviceAssist: warm ok model=qwen2.5-0.5b-instruct-q4_0.gguf ambient=40 chars 531ms
08-03 10:39:40.285 12445 12445 I VkKeyPress: keys pressed=843
08-03 10:39:40.286 12445 12445 I VkPanels: ○ close menu
08-03 10:39:40.452 12445 12445 I VkSettings: ▶ activity open spellchecker=false
08-03 10:39:40.797 12445 12445 W VkStall : MAIN-THREAD STALL 282ms (imeHideInProgress) during: >>>>> Dispatching to Handler (android.view.Choreographer$FrameHandler) {1888b43} android.view.Choreographer$FrameDisplayEventReceiver@a63e5c0: 0
08-03 10:39:40.800 12445 12445 I VkTyping: ○ hidden
08-03 10:39:40.812 12445 12445 I VkSettings: → screen settings
08-03 10:39:42.423 12445 12445 I VkSettings: → screen about
08-03 10:39:43.729 12445 12510 E BLASTBufferQueue: BLASTBufferItemConsumer::onDisconnect()
08-03 10:39:45.848 12445 12510 E BLASTBufferQueue: BLASTBufferItemConsumer::onDisconnect()
--------- beginning of system
08-03 10:39:45.932 12445 14463 E ActivityThread: Failed to find provider info for com.oplus.statistics.provider
08-03 10:39:45.933 12445 14463 E OplusStatistics--: IllegalArgumentException:java.lang.IllegalArgumentException: Unknown URL content://com.oplus.statistics.provider/track_event

=== Feature activity (persisted across restarts) ===
2026-08-01 13:47:02.123542 W VkStall: MAIN-THREAD STALL 260ms during: >>>>> Dispatching to Handler (com.android.internal.os.HandlerCaller$MyHandler) {fe0acd8} null: 60
2026-08-01 13:47:03.077598 W VkSuggestions: slow frame 23,3ms locales=1 typedLen=0 candidates=0
2026-08-01 13:47:13.649051 W VkStall: MAIN-THREAD STALL 846ms during: >>>>> Dispatching to Handler (com.google.android.gms.ads.internal.util.f) {c54839c} com.google.android.gms.ads.internal.js.r@6bdc1a5: 0
2026-08-01 14:06:58.555931 W VkSuggestions: slow frame 16,7ms locales=1 typedLen=3 candidates=14
2026-08-01 14:06:58.740393 W VkSuggestions: slow frame 23,6ms locales=1 typedLen=3 candidates=14
2026-08-01 14:06:59.593234 W VkStall: MAIN-THREAD STALL 343ms during: >>>>> Dispatching to Handler (android.os.Handler) {b7116d5} ba.s@1d9ceea: 0
2026-08-01 14:07:07.850680 W VkSuggestions: slow frame 16,9ms locales=1 typedLen=1 candidates=14
2026-08-01 14:07:10.005586 W VkSuggestions: slow frame 24,7ms locales=1 typedLen=3 candidates=14
2026-08-01 14:07:13.704164 W VkSuggestions: slow frame 20,1ms locales=1 typedLen=3 candidates=14
2026-08-01 14:07:22.902229 W VkSuggestions: slow frame 117,4ms locales=1 typedLen=0 candidates=0
2026-08-01 14:51:32.757793 W VkStall: MAIN-THREAD STALL 255ms (imeHideInProgress) during: >>>>> Dispatching to Handler (android.view.Choreographer$FrameHandler) {1888b43} android.view.Choreographer$FrameDisplayEventReceiver@a63e5c0: 0
2026-08-01 15:05:01.281627 W VkStall: MAIN-THREAD STALL 340ms (imeHideInProgress) during: >>>>> Dispatching to Handler (android.view.Choreographer$FrameHandler) {1888b43} android.view.Choreographer$FrameDisplayEventReceiver@a63e5c0: 0
2026-08-01 15:09:45.386148 W VkStall: MAIN-THREAD STALL 270ms (imeHideInProgress) during: >>>>> Dispatching to Handler (android.view.Choreographer$FrameHandler) {1888b43} android.view.Choreographer$FrameDisplayEventReceiver@a63e5c0: 0
2026-08-01 15:36:04.695380 W VkSuggestions: slow frame 22,5ms locales=1 typedLen=1 candidates=14
2026-08-01 15:36:04.922934 W VkSuggestions: slow frame 16,3ms locales=1 typedLen=2 candidates=14
2026-08-01 15:36:05.315181 W VkSuggestions: slow frame 17,4ms locales=1 typedLen=3 candidates=14
2026-08-01 15:36:06.803901 W VkSuggestions: slow frame 17,7ms locales=1 typedLen=3 candidates=14
2026-08-01 15:36:12.688346 W VkSuggestions: slow frame 23,6ms locales=1 typedLen=1 candidates=14
2026-08-01 15:36:12.964138 W VkSuggestions: slow frame 23,3ms locales=1 typedLen=2 candidates=14
2026-08-01 15:36:13.538121 W VkSuggestions: slow frame 21,6ms locales=1 typedLen=3 candidates=14
2026-08-01 15:36:16.985900 W VkSuggestions: slow frame 18,0ms locales=1 typedLen=2 candidates=14
2026-08-01 15:36:17.147934 W VkSuggestions: slow frame 16,4ms locales=1 typedLen=4 candidates=14
2026-08-01 19:00:11.877945 W VkSuggestions: slow frame 17,0ms locales=1 typedLen=1 candidates=14
2026-08-01 19:00:12.234092 W VkSuggestions: slow frame 17,7ms locales=1 typedLen=3 candidates=14
2026-08-01 19:00:20.227852 W VkSuggestions: slow frame 20,0ms locales=1 typedLen=3 candidates=14
2026-08-01 19:19:18.616669 W VkSuggestions: slow frame 24,6ms locales=1 typedLen=1 candidates=14
2026-08-01 19:19:20.620610 W VkSuggestions: slow frame 18,8ms locales=1 typedLen=1 candidates=14
2026-08-01 19:20:23.698736 W VkSuggestions: slow frame 19,9ms locales=1 typedLen=1 candidates=14
2026-08-01 19:20:24.107689 W VkSuggestions: slow frame 22,7ms locales=1 typedLen=3 candidates=14
2026-08-02 11:57:14.542224 W VkSuggestions: slow frame 19,5ms locales=1 typedLen=1 candidates=14
2026-08-02 11:57:18.065359 W VkSuggestions: slow frame 26,8ms locales=1 typedLen=1 candidates=14
2026-08-02 11:57:24.651716 W VkSuggestions: slow frame 24,0ms locales=1 typedLen=1 candidates=14
2026-08-02 11:57:24.884386 W VkSuggestions: slow frame 19,0ms locales=1 typedLen=2 candidates=14
2026-08-02 11:57:27.215729 W VkSuggestions: slow frame 21,4ms locales=1 typedLen=1 candidates=14
2026-08-02 11:57:27.467939 W VkSuggestions: slow frame 22,7ms locales=1 typedLen=2 candidates=14
2026-08-02 11:57:27.708096 W VkSuggestions: slow frame 20,7ms locales=1 typedLen=3 candidates=14
2026-08-02 11:57:29.160744 W VkSuggestions: slow frame 20,7ms locales=1 typedLen=4 candidates=14
2026-08-02 11:57:34.972398 W VkSuggestions: slow frame 22,0ms locales=1 typedLen=2 candidates=14
2026-08-02 11:57:38.953886 W VkSuggestions: slow frame 19,4ms locales=1 typedLen=3 candidates=14
2026-08-02 11:57:43.894024 W VkSuggestions: slow frame 24,4ms locales=1 typedLen=3 candidates=14
2026-08-02 12:01:29.787057 W VkSuggestions: slow frame 24,2ms locales=1 typedLen=1 candidates=14
2026-08-02 12:03:08.181107 W VkSuggestions: slow frame 25,1ms locales=1 typedLen=1 candidates=14
2026-08-02 12:06:22.029591 W VkSuggestions: slow frame 25,0ms locales=1 typedLen=1 candidates=14
2026-08-02 12:07:29.970269 W VkSuggestions: slow frame 16,5ms locales=1 typedLen=1 candidates=14
2026-08-02 12:07:52.418560 W VkSuggestions: slow frame 27,2ms locales=1 typedLen=4 candidates=14
2026-08-02 12:11:46.387654 W VkSuggestions: slow frame 20,0ms locales=1 typedLen=1 candidates=14
2026-08-02 12:11:46.599921 W VkSuggestions: slow frame 17,5ms locales=1 typedLen=2 candidates=14
2026-08-02 12:11:56.396499 W VkSuggestions: slow frame 17,7ms locales=1 typedLen=1 candidates=14
2026-08-02 12:46:52.800969 W VkSuggestions: slow frame 45,1ms locales=1 typedLen=2 candidates=14
2026-08-02 12:47:43.370796 W VkSuggestions: slow frame 25,6ms locales=1 typedLen=1 candidates=14
2026-08-02 12:51:16.643557 W VkSuggestions: slow frame 20,5ms locales=1 typedLen=1 candidates=14
2026-08-02 12:51:16.908588 W VkSuggestions: slow frame 16,6ms locales=1 typedLen=2 candidates=14
2026-08-02 12:51:57.792725 W VkSuggestions: slow frame 17,4ms locales=1 typedLen=2 candidates=14
2026-08-02 13:11:18.188390 W VkSuggestions: slow frame 20,2ms locales=1 typedLen=1 candidates=14
2026-08-02 13:11:18.463067 W VkSuggestions: slow frame 24,9ms locales=1 typedLen=2 candidates=14
2026-08-02 13:11:26.716391 W VkSuggestions: slow frame 18,9ms locales=1 typedLen=4 candidates=14
2026-08-02 13:11:31.881143 W VkSuggestions: slow frame 17,6ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:34.540122 W VkSuggestions: slow frame 19,2ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:36.316022 W VkSuggestions: slow frame 23,3ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:37.951386 W VkSuggestions: slow frame 22,5ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:39.629810 W VkSuggestions: slow frame 27,9ms locales=1 typedLen=5 candidates=14
2026-08-02 13:11:43.551746 W VkSuggestions: slow frame 17,8ms locales=1 typedLen=4 candidates=14
2026-08-02 13:11:49.213386 W VkSuggestions: slow frame 22,8ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:57.840786 W VkSuggestions: slow frame 20,8ms locales=1 typedLen=3 candidates=14
2026-08-02 13:11:59.540966 W VkSuggestions: slow frame 22,9ms locales=1 typedLen=4 candidates=14
2026-08-02 13:11:59.690597 W VkSuggestions: slow frame 17,7ms locales=1 typedLen=3 candidates=14
2026-08-02 13:12:01.894251 W VkSuggestions: slow frame 21,7ms locales=1 typedLen=3 candidates=14
2026-08-02 13:12:02.116656 W VkSuggestions: slow frame 22,9ms locales=1 typedLen=4 candidates=14
2026-08-02 13:12:03.189100 W VkSuggestions: slow frame 17,3ms locales=1 typedLen=5 candidates=14
2026-08-02 13:12:03.396929 W VkSuggestions: slow frame 16,9ms locales=1 typedLen=6 candidates=14
2026-08-02 13:12:06.646182 W VkSuggestions: slow frame 19,1ms locales=1 typedLen=3 candidates=14
2026-08-02 13:12:12.905288 W VkSuggestions: slow frame 16,4ms locales=1 typedLen=3 candidates=14
2026-08-02 13:12:16.536697 W VkSuggestions: slow frame 19,3ms locales=1 typedLen=4 candidates=14
2026-08-02 13:12:19.716063 W VkSuggestions: slow frame 19,4ms locales=1 typedLen=3 candidates=14
2026-08-02 13:12:25.805725 W VkSuggestions: slow frame 17,7ms locales=1 typedLen=6 candidates=14
2026-08-02 13:16:24.098928 W VkSuggestions: slow frame 23,8ms locales=1 typedLen=4 candidates=14
